"cancer","total_samples"
"TCGA-BRCA",1231
"TCGA-KIRC",614
"TCGA-LUAD",601
"TCGA-UCEC",589
"TCGA-THCA",572
"TCGA-HNSC",566
"TCGA-LUSC",562
"TCGA-PRAD",554
"TCGA-LGG",534
"TCGA-COAD",524
"TCGA-SKCM",473
"TCGA-STAD",448
"TCGA-OV",434
"TCGA-BLCA",431
"TCGA-LIHC",424
"TCGA-GBM",391
"TCGA-KIRP",323
"TCGA-CESC",309
"TCGA-SARC",265
"TCGA-ESCA",198
"TCGA-PCPG",187
"TCGA-PAAD",183
"TCGA-READ",177
"TCGA-TGCT",156
"TCGA-LAML",151
"TCGA-THYM",122
"TCGA-KICH",91
"TCGA-MESO",87
"TCGA-UVM",80
"TCGA-ACC",79
"TCGA-UCS",57
"TCGA-DLBC",48
"TCGA-CHOL",44
