"cancer","has_tumor","has_normal"
"TCGA-ACC",TRUE,FALSE
"TCGA-BLCA",TRUE,TRUE
"TCGA-BRCA",TRUE,TRUE
"TCGA-CESC",TRUE,TRUE
"TCGA-CHOL",TRUE,TRUE
"TCGA-COAD",TRUE,TRUE
"TCGA-DLBC",TRUE,FALSE
"TCGA-ESCA",TRUE,TRUE
"TCGA-GBM",TRUE,TRUE
"TCGA-HNSC",TRUE,TRUE
"TCGA-KICH",TRUE,TRUE
"TCGA-KIRC",TRUE,TRUE
"TCGA-KIRP",TRUE,TRUE
"TCGA-LAML",FALSE,FALSE
"TCGA-LGG",TRUE,FALSE
"TCGA-LIHC",TRUE,TRUE
"TCGA-LUAD",TRUE,TRUE
"TCGA-LUSC",TRUE,TRUE
"TCGA-MESO",TRUE,FALSE
"TCGA-OV",TRUE,FALSE
"TCGA-PAAD",TRUE,TRUE
"TCGA-PCPG",TRUE,TRUE
"TCGA-PRAD",TRUE,TRUE
"TCGA-READ",TRUE,TRUE
"TCGA-SARC",TRUE,TRUE
"TCGA-SKCM",TRUE,TRUE
"TCGA-STAD",TRUE,TRUE
"TCGA-TGCT",TRUE,FALSE
"TCGA-THCA",TRUE,TRUE
"TCGA-THYM",TRUE,TRUE
"TCGA-UCEC",TRUE,TRUE
"TCGA-UCS",TRUE,FALSE
"TCGA-UVM",TRUE,FALSE
